"customer_id","total_spend","rank_spend"
"c521ccf21e7bb2207c3f08d578b6e028d2c3b25986cb35dd5930ede1d8a643da",28331.05,1
"8b5c4d6170343fbee92a6e577268b8aa8492105bdacbb8c6d9c2855f9bad8a4f",25207.83,2
"12b07b9c3370baa5dd15fbfbc43c3dbc379fe66f73dbda9526c651d3fe501507",22416.31,3
"4f0c8bb49d63ece05f5a6e04183b590b0add9efc83dbd4179e2960d917920216",21355.94,4
"b64eade2d814bda0a3b16234e44400a4a9c0c44e5d6738a42e9e3c62b3d25723",20185.62,5
"87914cdf29e9abadd81682bc1f10c5060e5ef20a11a3afa9ecf8b6f48d4fe98c",19210.95,6
"d5dcdf072e8bc59aef586fb4f5cb923335bade91f626d670e861dd457f0f715e",18869.63,7
"fb030711dc72929461c37e00c9440eead6f57c51dd051689eb6d12dc68797ed1",18570.73,8
"a7ffcb9e4f91fbff5baeddce59654687d99e418568dacce9c177aea47b9ce8fc",18501.42,9
"868624c537edb4f1dbda0cc6ba964f950306578374d464a68c8fb817216b324e",18128.11,10
"d8180eb413b840a12e04c206ba24718d947514b5bfaa638a0c6116af9eb902f9",17737.18,11
"f6e68ffc4f93a1897e6c51e517b4fd8e345a93d234ae6852b0b20d82a1c3d236",16770.60,12
"604e8242015a95d7a475f20a44977b8fbc32793950ec1672d58d45991049fec1",16666.65,13
"85b50382298582325a0217131d56d5449e3ae3966a11c4e7249fe237ce29efef",16644.09,14
"50e012fdbc91a5040bddf4e5fe60216aef555f2ca28ab2f913a3038bbffe9f89",16289.18,15
"960b6543eb5611330f0e49b13ee776597444ca7c81314eb2d8abc73cbd81e0e0",14982.08,16
"6c24d2044b9eb120a8ad72e45545bc27569094def10dcf1b71d20b7ba75daefa",14565.60,17
"7e6a43025a212e2963194375ab8b8ef5737f66ec414415538672ba3de04cc3a4",14293.78,18
"875718b63f640a1a7f65020b414dda5a518d2b4c0081249770f2c6568b9954ca",14227.68,19
"447f3d277e77e80188986fcbd853a877d6d8e49cd4a9eca7863a0bd8e39efa92",14207.15,20
